Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
Golden Park Tower,,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,95.6,5.26,Tây - Bắc,Đông - Nam,3,
Golden Park Tower,,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,116.2,6.5,Tây - Nam,Đông - Bắc,3,
The Park Home,,,Thành Thái,Dịch Vọng,Cầu Giấy,154,9.09,,,4,
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,107,6.2,Đông - Bắc,Đông - Nam,3,
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,112,6.6,Đông - Bắc,Tây - Nam,3,
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,109,5.2,,,3,2
Vinhomes West Point,,,Đỗ Đức Dục,Mễ Trì,Nam Từ Liêm,109,4.25,,,3,
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,87,4.15,,,2,
Vinhomes Metropolis - Liễu Giai,29,,Liễu Giai,Ngọc Khánh,Ba Đình,57,4.95,,,1,1
Vinhomes Metropolis - Liễu Giai,29,,Liễu Giai,Ngọc Khánh,Ba Đình,120,13.8,Tây - Bắc,Đông - Nam,3,2
N02-T1 Ngoại Giao Đoàn,,,,Xuân Đỉnh,Bắc Từ Liêm,90.3,4.18,Bắc,Nam,2,2
CT1 Yên Nghĩa,,,,Yên Nghĩa,Hà Đông,82,1.86,,,3,2
Hinode City,,,Minh Khai,Minh Khai,Hai Bà Trưng,99.5,7,,,3,2
Tecco Garden,,,Tứ Hiệp,Tứ Hiệp,Thanh Trì,134.5,3.05,Đông - Bắc,Tây - Nam,3,3
,,,Minh Khai,Hoàng Văn Thụ,Hoàng Mai,56,0.8,,,2,2
,,,Giải Phóng,Tương Mai,Hoàng Mai,53,0.635,,,2,2
,,,Phúc Diễn,Mỹ Đình 1,Nam Từ Liêm,80,3.6,,,,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,58.7,2.2,Đông - Nam,Đông - Nam,2,1
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,66.1,5.069,,,2,1
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,56,2.4,Bắc,Nam,2,2
,,,Lê Hồng Phong,Đội Cấn,Ba Đình,55,0.834,Tây,Đông - Nam,2,1
Khu Ngoại Giao Đoàn,,,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,110,4.89,,,,
HC Golden City,,,,Bồ Đề,Long Biên,71,2.93,,Đông - Nam,2,2
HC Golden City,,,,Bồ Đề,Long Biên,88,4.4,,Đông - Nam,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,104,5.2,Tây - Nam,Đông - Bắc,3,2
HUD3 Tower,,,Tô Hiệu,Nguyễn Trãi,Hà Đông,127,3.33,,,3,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,55,2.28,,,2,2
KĐT Trung Văn - Vinaconex 3,,,Cương Kiên,Trung Văn,Nam Từ Liêm,93,3.4,,,3,2
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,54,1.18,Tây - Nam,Đông - Nam,2,2
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,64,2.4,Đông - Bắc,Đông - Bắc,2,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,54,2.25,,,2,1
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,71,1.787,Đông - Nam,Tây - Bắc,2,2
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,54,2.05,,,2,1
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,72,3.1,,,2,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,82,3.1,,,3,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,76,3.5,,,3,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,43,1.9,,,1,1
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,82,3.5,,,3,
Gemek Tower,,,Lê Trọng Tấn,An Khánh,Hoài Đức,79,1.89,Đông - Nam,Tây - Bắc,2,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,76,3.2,,,3,2
MHD Trung Văn,29,,Tố Hữu,Trung Văn,Nam Từ Liêm,105,4.199,,,3,
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,55,2.035,,,2,1
Vinhomes Symphony Riverside,,,Phúc Lợi,Việt Hưng,Long Biên,67.7,3.2,Đông - Nam,Tây - Bắc,2,2
90 Nguyễn Tuân,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,96,4.3,,Đông - Nam,3,2
Legend Tower 109 Nguyễn Tuân,,,Nguyễn Tuân,Nhân Chính,Thanh Xuân,65,3.6,,Đông - Nam,2,2
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,117,3.7,,,2,2
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,70,2.7,,Đông - Nam,2,2
Hà Nội Center Point,,,Hoàng Đạo Thúy,Nhân Chính,Thanh Xuân,80,3.9,Tây - Bắc,Đông - Nam,3,2
Thống Nhất Complex,82,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,95,4.15,Tây - Bắc,Đông - Nam,3,2
Sky Central,176,,Định Công,Định Công,Hoàng Mai,93,3.75,,Nam,3,2
Berriver Long Biên,,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,110,4.2,,,3,2
Vinhomes Symphony Riverside,,,,Việt Hưng,Long Biên,66,3,,,,
,,,Hoàng Đạo Thành,Kim Giang,Thanh Xuân,62,1.48,,,2,2
Hinode City,201,,Minh Khai,Minh Khai,Hai Bà Trưng,82,4.3,,,2,2
HH4 Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,67.04,1.54,,Đông - Nam,2,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,100,5.6,,,3,2
Vinhomes West Point,,,Đỗ Đức Dục,Mễ Trì,Nam Từ Liêm,100,4.7,,,3,
Vinhomes West Point,,,Đỗ Đức Dục,Mễ Trì,Nam Từ Liêm,136,8.9,,,4,
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,98,6.5,,,3,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,70,3.8,,,2,2
Vinhomes West Point,,,Đỗ Đức Dục,Mễ Trì,Nam Từ Liêm,70,3.8,Tây - Bắc,Nam,2,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,100,5.6,,,3,
ĐTM Dịch Vọng,,,Thành Thái,Dịch Vọng,Cầu Giấy,175,6.3,,,3,3
,,,Tân Xuân,Xuân Đỉnh,Bắc Từ Liêm,76,1.45,Tây - Bắc,Đông - Nam,2,2
HH2 Linh Đàm,,,Hoàng Liệt,Hoàng Liệt,Hoàng Mai,67.04,1.56,Tây,Đông - Bắc,2,2
The Nine,,,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,107,7.3,Tây,Đông,3,
Nam Đô Complex,609,,Trương Định,Giáp Bát,Hoàng Mai,152,5.6,Tây,Đông,4,2
BRG Diamond Residence,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,103,6.7,,,3,2
The Golden Palm Lê Văn Lương,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,124,5.5,,,4,
Hoàng Thành Pearl,,,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,80,4.1,,Đông - Bắc,2,2
Làng Việt Kiều Châu Âu Euroland,,,,Mỗ Lao,Hà Đông,172,5.7,,,4,
Học Viện Quốc Phòng,,,Nguyễn Văn Huyên,Xuân La,Tây Hồ,106,3.5,,Đông - Nam,3,2
Indochina Plaza,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,218,11,,,4,
Nghĩa Đô,106,,Hoàng Quốc Việt,Cổ Nhuế 1,Bắc Từ Liêm,47,1.9,Tây,Đông - Nam,1,1
Nhà ở cho CBCS Bộ Công an,43,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70,2.4,,Nam,2,2
Indochina Plaza,241,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,116.6,5.4,,,3,2
Resco Cổ Nhuế,,,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,65,2.2,Bắc,Nam,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,69,1.9,,,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,60,1.55,,,2,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,106,2.9,,,3,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,34,0.89,,,,
Berriver Long Biên,390,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,180,7,Tây - Nam,Đông - Bắc,4,3
HPC Landmark 105,,,,La Khê,Hà Đông,84,2.53,Đông - Bắc,Tây - Nam,2,2
Sky Central,,,Định Công,Định Công,Hoàng Mai,66,2.7,,,2,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,94,3.5,Tây - Nam,Đông - Bắc,3,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,65,2,,,,
The Zenpark,,,Lý Thánh Tông,Dương Xá,Gia Lâm,68,2.9,,,2,2
The Zenpark,,,Lý Thánh Tông,Dương Xá,Gia Lâm,42,1.6,,,1,1
B.I.G Tower,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,116,3.35,,,3,2
Tecco Garden,,,Tứ Hiệp,Tứ Hiệp,Thanh Trì,127,3.2,Đông - Bắc,Đông - Nam,4,3
Royal City,72A,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,190,7.3,,,3,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,80,3.4,,,3,2
Diamond Park Plaza ,16,,Láng Hạ,Thành Công,Ba Đình,82.2,6.6,,,1,1
Hà Nội Homeland,,,5,Thượng Thanh,Long Biên,58,2.1,,,2,2
Berriver Long Biên,,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,70,2.8,Đông - Bắc,Tây - Nam,2,1
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,107,3.8,Đông - Nam,Tây - Bắc,3,2
Eurowindow River Park,,,5,Đông Hội,Đông Anh,68.2,1.45,Đông - Bắc,Đông - Nam,2,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,106,4.9,,Nam,3,2
Trinity Tower,,,Hồ Mễ Trì,Nhân Chính,Thanh Xuân,86.5,3.7,,Đông - Nam,3,2
Thăng Long Garden 250 Minh Khai,,,Minh Khai,Minh Khai,Hai Bà Trưng,75,2.68,Đông - Nam,,2,1
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,54.7,2.4,,Tây - Nam,2,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,82.5,3.1,Đông - Nam,Tây - Bắc,3,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,99,3.8,,,3,
Berriver Long Biên,390,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,80,3.3,,,3,2
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,87,4.1,,,3,2
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,102.3,5,,,3,
FLC Complex Phạm Hùng,36,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,70,2.8,,Đông - Nam,2,2
Green Stars,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,60,2.57,Tây - Nam,Tây - Bắc,2,2
Sun Grand City Ancora Residence,3,,Lương Yên,Bạch Đằng,Hai Bà Trưng,130,9.2,,,3,2
Chung cư 536A Minh Khai,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74,2.9,,,2,2
Green Pearl 378 Minh Khai,378,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,139,7,,,4,3
Hinode City,,,Minh Khai,Minh Khai,Hai Bà Trưng,100,6.45,,,3,2
Sun Grand City Ancora Residence,,,Lương Yên,Bạch Đằng,Hai Bà Trưng,110,7.5,,,3,2
Green Pearl 378 Minh Khai,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,88,4.4,,,3,2
Sun Grand City Ancora Residence,,,Lương Yên,Bạch Đằng,Hai Bà Trưng,98,7,,,,
Vinhomes D'Capitale,,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,95,6,,,,
The Zen Residence,,,Pháp Vân,Yên Sở,Hoàng Mai,95,4.05,,,3,
Feliz Homes,,,Hoàng Mai,Hoàng Văn Thụ,Hoàng Mai,107.5,3.72,,,3,
Sunshine Garden,,,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,74,3.05,,,2,2
,,,Trường Chinh,Phương Liệt,Thanh Xuân,52,1.46,,,2,1
Grand Sunlake,135,,Trần Phú,Văn Quán,Hà Đông,98,2.9,Đông - Nam,Đông - Nam,3,2
Imperia Garden,203,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,66,3.3,Đông - Nam,Tây - Bắc,2,2
Green Diamond 93 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,98,5,,,,
Hoàng Thành Pearl,,,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,86,3.5,Đông - Nam,Đông - Nam,3,2
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,90,4.5,Đông - Nam,Đông - Nam,3,2
Eurowindow Multi Complex,27,,Trần Duy Hưng,Trung Hòa,Cầu Giấy,94.5,4.85,Tây - Bắc,Đông - Nam,2,2
The Sakura - Vinhomes Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,80,3.4,,,3,
The Pavilion - Vinhomes Ocean Park,,,Lý Thánh Tông,,Gia Lâm,46.9,1.468,,Đông - Bắc,2,1
Ecolife Capitol,,,Tố Hữu,Trung Văn,Nam Từ Liêm,70,2.1,,,,
The Pavilion - Vinhomes Ocean Park,,,Lý Thánh Tông,,Gia Lâm,60,2.155,,,2,2
Khu Ngoại Giao Đoàn,,,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,140,5.88,Đông - Nam,Đông - Nam,,
Văn Phú Victoria,,,Lê Trọng Tấn,Phú La,Hà Đông,121.3,2.8,Tây - Nam,Đông - Bắc,3,2
Hồ Gươm Plaza,102,,Trần Phú,Mỗ Lao,Hà Đông,126,3.6,Đông - Bắc,Tây - Nam,3,2
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,75,3.02,,,2,2
Hyundai Hillstate,,,Tô Hiệu,Hà Cầu,Hà Đông,123,4.1,,,3,2
,,,Lương Định Của,Phương Mai,Đống Đa,100,2.68,,,4,
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,81,2.6,Tây - Bắc,Đông - Nam,2,2
Vinhomes Ocean Park Gia Lâm,,,Cửu Việt,Dương Xá,Gia Lâm,59,1.67,Đông,,2,1
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,82,1.85,Tây - Nam,Đông - Bắc,2,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,64,1.58,Đông - Nam,Tây - Bắc,2,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,63,1.05,,,2,2
Bea Sky,1,,Đại lộ Chu Văn An,Đại Kim,Hoàng Mai,68,3.15,Tây - Bắc,Đông - Nam,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,48,1.29,Đông - Nam,,1,1
Imperia Garden,203,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,66,3.45,Tây - Bắc,Đông - Nam,2,2
Sky Park Residence,,,Tôn Thất Thuyết,Dịch Vọng Hậu,Cầu Giấy,71,4,,,,
Khu đô thị mới Dịch Vọng,,,Thành Thái,Dịch Vọng,Cầu Giấy,85,3.6,,,2,2
Iris Garden,30,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,185,7.5,Đông,Tây - Bắc,4,4
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,130,5.6,Bắc,Nam,3,2
Dreamland Bonanza,23,,Duy Tân,Mỹ Đình 2,Nam Từ Liêm,303,10.85,Đông,Tây - Bắc,5,5
Sunshine Garden,,,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,45,1.99,,,1,
King Palace,108,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,100,5.8,Đông - Nam,Đông - Bắc,3,2
Mỹ Đình Pearl,,,Châu Văn Liêm,Phú Đô,Nam Từ Liêm,269,18,Tây - Bắc,Đông - Nam,4,4
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,68,3.8,Tây,Đông,2,2
A10-A14 Nam Trung Yên,,,Nguyễn Chánh,Yên Hòa,Cầu Giấy,56,2.15,Tây - Bắc,Đông - Nam,2,1
King Palace,108,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,115,6,Đông - Bắc,Đông - Bắc,3,2
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,76,3.65,,,2,
King Palace,108,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,82,4.5,Tây,Tây - Nam,2,2
Dreamland Bonanza,,,Duy Tân,Mỹ Đình 2,Nam Từ Liêm,300,10.85,Đông,Tây - Nam,5,5
Iris Garden,30,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,185,7.5,Đông,Tây - Bắc,4,4
N02-T3 Ngoại Giao Đoàn,,,,Xuân Đỉnh,Bắc Từ Liêm,94,4.8,Nam,Bắc,3,
A10-A14 Nam Trung Yên,,,Nguyễn Chánh,Yên Hòa,Cầu Giấy,45,1.65,,,1,1
The Zen Residence,,,Pháp Vân,Yên Sở,Hoàng Mai,55,2.35,Tây - Nam,Đông - Bắc,2,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,59,1.55,,,2,2
Sun Grand City,69B,,Thụy Khuê,Thụy Khuê,Tây Hồ,123,9.8,,,3,2
Anland Complex,,,Tố Hữu,La Khê,Hà Đông,90,3.48,Đông - Bắc,Đông - Nam,3,2
The Two Residence - Gamuda Garden,,,Pháp Vân,Yên Sở,Hoàng Mai,45,1.75,Tây - Bắc,Đông - Nam,1,1
The Terra An Hưng,,,,Dương Nội,Hà Đông,140,5.1,,,4,
Amber Riverside,622,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74.16,3.4,,,2,2
Golden Land,,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,141,7.65,,,3,
90 Nguyễn Tuân,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,96.6,4.7,Tây - Bắc,Đông - Nam,3,2
Ecolife Capitol,,,Tố Hữu,Trung Văn,Nam Từ Liêm,110,4,Đông - Nam,Tây - Bắc,3,2
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,43,1.5,,,2,1
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,94,3.15,,,3,2
Mỹ Đình Pearl,,,,Phú Đô,Nam Từ Liêm,83,4.2,Tây - Nam,Đông - Nam,3,2
Gelexia Riverside,885,,Tam Trinh,Yên Sở,Hoàng Mai,74,2.4,Bắc,Nam,2,2
Mỹ Đình Pearl,,,,Phú Đô,Nam Từ Liêm,96,4.8,Tây - Nam,Đông - Bắc,3,2
The One Residence - Gamuda Garden,,,Pháp Vân,Yên Sở,Hoàng Mai,81,3.5,Đông - Nam,Tây - Bắc,3,2
,,,Đại Cồ Việt,Bách Khoa,Hai Bà Trưng,55,0.62,Đông - Nam,Nam,2,2
,,,Trường Chinh,Thượng Đình,Thanh Xuân,52,0.638,,,2,2
,,,Văn Cao,Ngọc Hà,Ba Đình,52,0.64,Đông - Bắc,Đông - Nam,2,2
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,25,1.2,,,1,
,,,Hoàng Hoa Thám,Ngọc Hà,Ba Đình,58,0.82,,,2,2
,,,Hào Nam,Ô Chợ Dừa,Đống Đa,58,0.8,,,2,2
Bea Sky,,,,Đại Kim,Hoàng Mai,67,2.4,Đông - Bắc,Tây - Nam,2,2
Vinhomes Ocean Park Gia Lâm,,,Hải Âu,Dương Xá,Gia Lâm,106,3.8,Tây - Bắc,Đông - Nam,3,2
Imperia Sky Garden,423,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,99.25,5.2,Nam,Bắc,3,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,150,12,Tây - Nam,,3,3
Tổng cục 5 Bộ Công An,,,Tôn Quang Phiệt,Cổ Nhuế 1,Bắc Từ Liêm,86,3.35,Nam,Bắc,3,2
Golden Park Tower,,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,98,5.2,,,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,100,5,,,3,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,70,3.7,Đông - Nam,Tây - Bắc,2,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,75,1.86,,,2,
Văn Khê,,,Tố Hữu,La Khê,Hà Đông,165,3.2,Tây - Nam,Đông - Nam,3,2
Roman Plaza,,,Tố Hữu,Đại Mỗ,Nam Từ Liêm,105,3.9,,Đông - Nam,3,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,133,4.7,,,,
Chung cư IEC Residences Tứ Hiệp ,,,,,Thanh Trì,80,1.96,Tây,Nam,3,2
The Manor,,,Mễ Trì,Mỹ Đình 1,Nam Từ Liêm,219,10.5,,,4,3
Mỹ Đình Pearl,,,,Phú Đô,Nam Từ Liêm,72,3.4,Tây - Nam,Đông - Bắc,2,2
Grand Sunlake,,,Trần Phú,Văn Quán,Hà Đông,72,2.5,,,2,
FLC Complex Phạm Hùng,36,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,131,4.19,Nam,Đông,3,2
Pháp Vân Tứ Hiệp,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,82,2.18,,Nam,3,2
Mipec Rubik 360,122 - 124,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,70,4.1,Bắc,Nam,2,2
N03-T2 Ngoại Giao Đoàn,,,,Xuân Đỉnh,Bắc Từ Liêm,171,9,Bắc,Nam,4,3
Sunshine Riverside,,,,Phú Thượng,Tây Hồ,93,5,,,,
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,97,4.1,Đông - Bắc,Tây - Nam,4,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,70,1.57,,,2,2
D’. Le Pont D’or - Hoàng Cầu,36,,Hoàng Cầu,Ô Chợ Dừa,Đống Đa,92,5,,,,
Chung cư Đại Thanh,,,Phan Trọng Tuệ,Tả Thanh Oai,Thanh Trì,56,0.95,,,2,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,78,1.77,,,2,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,64,1.4,Tây - Nam,Đông - Bắc,2,2
KĐT Xa La,,,Phùng Hưng,Phúc La,Hà Đông,101,2.55,Tây - Nam,Tây - Bắc,3,2
Toà nhà 93 Lò Đúc - Kinh Đô Tower,,,,,Hai Bà Trưng,114,5.54,,,,
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,76,3,,,,
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,110,5.2,Tây,Đông - Nam,3,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,29.9,1.15,Tây - Bắc,Đông - Nam,1,
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,76,3.3,Tây - Bắc,Đông - Nam,3,2
ICID Complex,,,Lê Trọng Tấn,Dương Nội,Hà Đông,68,2.15,Tây - Bắc,Đông - Nam,2,2
Gemek Premium,,,Lê Trọng Tấn,An Khánh,Hoài Đức,66,1.9,Tây - Nam,Đông - Bắc,2,2
Eco Green City,,,Nguyễn Xiển,Tân Triều,Thanh Trì,95,3.2,,,3,
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,67,2.25,,,2,
Riverside Garden,349,,Vũ Tông Phan,Khương Đình,Thanh Xuân,90,4.1,Bắc,Nam,3,
Imperia Garden,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,70,3.6,,Đông - Nam,2,
Eco Lake View,,,Đại Từ,Đại Kim,Hoàng Mai,76,2.4,,,2,
Home City - Trung Kính Complex,177,,Trung Kính,Yên Hòa,Cầu Giấy,71,3.2,,Đông - Nam,2,2
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,83.3,3.5,Tây - Nam,Đông - Bắc,2,2
Mỹ Đình I,,,Hàm Nghi,Mỹ Đình 1,Nam Từ Liêm,127,3.9,,,3,2
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,128,5.6,Tây - Nam,Đông - Bắc,3,3
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,90,5.3,,,3,2
Kiến Hưng,,,Lê Trọng Tấn,Kiến Hưng,Hà Đông,70,1.49,Bắc,Nam,2,
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,54,2.3,Tây - Bắc,Đông - Nam,2,1
HUD3 Nguyễn Đức Cảnh,60,,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,76,3.1,Bắc,Tây,2,2
Hòa Phát 70 NDC Tower,,,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,76.5,3.2,,,2,2
Hòa Phát 70 NDC Tower,,,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,98.2,3.6,Tây - Nam,Đông - Bắc,3,2
The Terra An Hưng,,,,Dương Nội,Hà Đông,74,2.8,Đông - Nam,Tây - Bắc,2,2
Hòa Phát 70 NDC Tower,,,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,80,3.2,,,2,2
HUD3 Nguyễn Đức Cảnh,,,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,70,3.1,Bắc,Tây,2,
Hòa Phát 70 NDC Tower,,,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,77,3.2,Tây,Đông,2,2
PentStudio,,,Lạc Long Quân,Phú Thượng,Tây Hồ,78,5,,,,
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,54,2.3,Đông - Bắc,Tây - Nam,2,1
,,,Giải Phóng,Giáp Bát,Hoàng Mai,51,0.639,Đông,Đông - Nam,2,1
,,,Đại Cồ Việt,Bách Khoa,Hai Bà Trưng,52,0.66,Đông,Đông - Nam,2,2
